Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,25-169,PHO,,NOP,W (+11),1,40:37,8,19,.421,4,8,.500,5,6,.833,0,4,4,8,1,0,1,2,25,20.5,+7
2,2,2022-04-19,25-171,PHO,,NOP,L (-11),1,24:47,12,19,.632,7,11,.636,0,0,,1,1,2,1,0,0,2,3,31,21.0,-6
3,,2022-04-22,25-174,PHO,@,NOP,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
4,,2022-04-24,25-176,PHO,@,NOP,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,,2022-04-26,25-178,PHO,,NOP,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,3,2022-04-28,25-180,PHO,@,NOP,W (+6),1,32:14,5,12,.417,1,6,.167,2,2,1.000,0,5,5,3,0,0,2,0,13,8.2,+9
7,4,2022-05-02,25-184,PHO,,DAL,W (+7),1,38:13,7,20,.350,1,5,.200,8,8,1.000,3,6,9,8,0,1,1,1,23,20.6,+6
8,5,2022-05-04,25-186,PHO,,DAL,W (+20),1,35:32,11,19,.579,5,8,.625,3,3,1.000,1,3,4,4,0,1,2,4,30,22.6,+21
9,6,2022-05-06,25-188,PHO,@,DAL,L (-9),1,40:02,6,13,.462,4,6,.667,2,4,.500,0,2,2,6,0,0,5,1,18,9.9,-12
10,7,2022-05-08,25-190,PHO,@,DAL,L (-10),1,43:19,10,22,.455,3,6,.500,12,13,.923,1,3,4,7,0,1,5,4,35,23.8,-12
11,8,2022-05-10,25-192,PHO,,DAL,W (+30),1,35:12,11,20,.550,3,7,.429,3,4,.750,1,6,7,2,2,0,2,3,28,20.7,+25
12,9,2022-05-12,25-194,PHO,@,DAL,L (-27),1,39:00,6,17,.353,0,4,.000,7,7,1.000,2,6,8,3,1,1,8,4,19,6.9,-19
13,10,2022-05-15,25-197,PHO,,DAL,L (-33),1,36:59,3,14,.214,0,4,.000,5,6,.833,1,2,3,2,1,0,4,3,11,0.5,-41
