Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
1,10/19/22,DAL,1,40:37:00,10.0,20.0,0.5,1.0,1.0,1.0,7.0,1.0,9.0,3.0,28.0,23.4,20.0
2,10/21/22,POR,1,43:55:00,11.0,23.0,0.478,3.0,7.0,0.429,9.0,0.889,3.0,1.0,33.0,23.1,-2.0
3,10/23/22,LAC,1,34:49:00,13.0,21.0,0.619,5.0,9.0,0.556,4.0,1.0,4.0,1.0,35.0,26.6,13.0
4,10/25/22,GSW,1,35:19:00,10.0,19.0,0.526,3.0,8.0,0.375,14.0,0.786,7.0,3.0,34.0,28.2,32.0
5,10/28/22,NOP,1,32:36:00,6.0,14.0,0.429,0.0,4.0,0.0,4.0,1.0,4.0,1.0,16.0,7.5,4.0
6,10/30/22,HOU,1,35:23:00,14.0,24.0,0.583,1.0,7.0,0.143,3.0,0.333,6.0,2.0,30.0,22.7,11.0
7,11/1/22,MIN,1,30:26:00,6.0,18.0,0.333,2.0,7.0,0.286,5.0,0.8,5.0,5.0,18.0,10.1,11.0
8,11/4/22,POR,1,38:22:00,8.0,21.0,0.381,3.0,7.0,0.429,6.0,1.0,5.0,3.0,25.0,14.0,3.0
9,11/5/22,POR,1,29:10:00,9.0,20.0,0.45,2.0,7.0,0.286,4.0,1.0,3.0,2.0,24.0,17.6,19.0
10,11/7/22,PHI,1,43:24:00,8.0,16.0,0.5,1.0,1.0,1.0,14.0,0.786,5.0,2.0,28.0,19.4,-9.0
11,11/9/22,MIN,1,38:10:00,12.0,23.0,0.522,5.0,7.0,0.714,3.0,1.0,10.0,2.0,32.0,29.1,26.0
12,11/11/22,ORL,1,34:28:00,6.0,19.0,0.316,2.0,8.0,0.25,3.0,1.0,6.0,2.0,17.0,12.1,-27.0
13,11/14/22,MIA,1,41:34:00,11.0,22.0,0.5,2.0,7.0,0.286,2.0,0.5,5.0,5.0,25.0,20.0,-7.0
14,11/16/22,GSW,1,36:38:00,8.0,17.0,0.471,2.0,5.0,0.4,9.0,1.0,9.0,2.0,27.0,23.5,6.0
15,11/18/22,UTA,1,41:17:00,16.0,31.0,0.516,2.0,9.0,0.222,15.0,1.0,10.0,3.0,49.0,42.3,-4.0
16,11/20/22,NYK,1,29:31:00,7.0,17.0,0.412,5.0,8.0,0.625,1.0,1.0,3.0,0.0,20.0,14.9,13.0
17,11/22/22,LAL,1,35:27:00,10.0,24.0,0.417,2.0,6.0,0.333,3.0,1.0,5.0,6.0,25.0,10.9,4.0
18,11/25/22,DET,1,35:42:00,8.0,17.0,0.471,2.0,7.0,0.286,7.0,0.429,5.0,2.0,21.0,15.2,10.0
19,11/26/22,UTA,1,39:21:00,8.0,27.0,0.296,1.0,7.0,0.143,11.0,0.909,7.0,3.0,27.0,17.5,-4.0
20,11/28/22,SAC,1,40:39:00,17.0,28.0,0.607,1.0,6.0,0.167,9.0,1.0,4.0,4.0,44.0,34.8,14.0
21,11/30/22,CHI,1,30:40:00,20.0,25.0,0.8,6.0,7.0,0.857,6.0,0.833,6.0,3.0,51.0,44.3,23.0
22,12/2/22,HOU,1,33:52:00,15.0,25.0,0.6,4.0,6.0,0.667,10.0,0.7,8.0,3.0,41.0,30.9,8.0
23,12/4/22,SAS,1,27:48:00,7.0,16.0,0.438,1.0,3.0,0.333,5.0,1.0,8.0,2.0,20.0,14.4,26.0
24,12/5/22,DAL,1,30:20:00,4.0,13.0,0.308,1.0,2.0,0.5,2.0,1.0,5.0,4.0,11.0,5.0,-18.0
25,12/7/22,BOS,1,24:37:00,6.0,17.0,0.353,1.0,6.0,0.167,4.0,1.0,3.0,5.0,17.0,8.2,-40.0
26,12/9/22,NOP,1,36:00:00,5.0,17.0,0.294,2.0,8.0,0.25,4.0,0.5,7.0,4.0,14.0,5.2,-18.0
29,12/15/22,LAC,1,34:53:00,6.0,22.0,0.273,1.0,9.0,0.111,1.0,1.0,4.0,1.0,14.0,4.0,4.0
30,12/17/22,NOP,1,42:27:00,21.0,35.0,0.6,6.0,12.0,0.5,15.0,0.667,5.0,3.0,58.0,42.4,11.0
56,2/7/23,BRK,1,25:35:00,6.0,15.0,0.4,2.0,8.0,0.25,7.0,0.714,6.0,5.0,19.0,11.5,-3.0
58,2/10/23,IND,1,26:14:00,7.0,18.0,0.389,3.0,9.0,0.333,4.0,1.0,5.0,4.0,21.0,11.3,11.0
60,2/16/23,LAC,1,34:41:00,6.0,16.0,0.375,1.0,6.0,0.167,7.0,0.857,9.0,5.0,19.0,10.7,-3.0
61,2/24/23,OKC,1,36:00:00,9.0,21.0,0.429,1.0,7.0,0.143,6.0,1.0,8.0,1.0,25.0,18.7,-6.0
