,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2,2.0,10/21/22,25-356,PHO,@,POR,L (-2),1,43:55:00,11.0,23.0,0.478,3.0,7.0,0.429,8.0,9.0,0.889,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,33.0,23.1,-2.0
2,3,3.0,10/23/22,25-358,PHO,@,LAC,W (+17),1,34:49:00,13.0,21.0,0.619,5.0,9.0,0.556,4.0,4.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,35.0,26.6,13.0
9,10,10.0,11/7/22,26-008,PHO,@,PHI,L (-12),1,43:24:00,8.0,16.0,0.5,1.0,1.0,1.0,11.0,14.0,0.786,2.0,5.0,7.0,5.0,1.0,0.0,6.0,2.0,28.0,19.4,-9.0
10,11,11.0,11/9/22,26-010,PHO,@,MIN,W (+12),1,38:10:00,12.0,23.0,0.522,5.0,7.0,0.714,3.0,3.0,1.0,0.0,4.0,4.0,10.0,2.0,0.0,1.0,2.0,32.0,29.1,26.0
11,12,12.0,11/11/22,26-012,PHO,@,ORL,L (-17),1,34:28:00,6.0,19.0,0.316,2.0,8.0,0.25,3.0,3.0,1.0,3.0,5.0,8.0,6.0,1.0,0.0,2.0,2.0,17.0,12.1,-27.0
12,13,13.0,11/14/22,26-015,PHO,@,MIA,L (-1),1,41:34:00,11.0,22.0,0.5,2.0,7.0,0.286,1.0,2.0,0.5,2.0,6.0,8.0,5.0,3.0,1.0,2.0,5.0,25.0,20.0,-7.0
14,15,15.0,11/18/22,26-019,PHO,@,UTA,L (-1),1,41:17:00,16.0,31.0,0.516,2.0,9.0,0.222,15.0,15.0,1.0,1.0,7.0,8.0,10.0,1.0,0.0,1.0,3.0,49.0,42.3,-4.0
22,23,23.0,12/4/22,26-035,PHO,@,SAS,W (+38),1,27:48:00,7.0,16.0,0.438,1.0,3.0,0.333,5.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,20.0,14.4,26.0
25,26,26.0,12/9/22,26-040,PHO,@,NOP,L (-11),1,36:00:00,5.0,17.0,0.294,2.0,8.0,0.25,2.0,4.0,0.5,0.0,2.0,2.0,7.0,1.0,0.0,3.0,4.0,14.0,5.2,-18.0
28,29,27.0,12/15/22,26-046,PHO,@,LAC,W (+16),1,34:53:00,6.0,22.0,0.273,1.0,9.0,0.111,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,2.0,1.0,14.0,4.0,4.0
55,56,30.0,2/7/23,26-100,PHO,@,BRK,W (+4),1,25:35:00,6.0,15.0,0.4,2.0,8.0,0.25,5.0,7.0,0.714,0.0,4.0,4.0,6.0,0.0,0.0,2.0,5.0,19.0,11.5,-3.0
57,58,31.0,2/10/23,26-103,PHO,@,IND,W (+13),1,26:14:00,7.0,18.0,0.389,3.0,9.0,0.333,4.0,4.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,4.0,4.0,21.0,11.3,11.0
61,62,35.0,2/26/23,26-119,PHO,@,MIL,L (-3),1,38:18:00,9.0,21.0,0.429,1.0,5.0,0.2,5.0,9.0,0.556,1.0,3.0,4.0,8.0,0.0,0.0,4.0,2.0,24.0,13.7,-1.0
62,63,36.0,3/1/23,26-122,PHO,@,CHO,W (+14),1,33:10:00,15.0,26.0,0.577,3.0,7.0,0.429,4.0,6.0,0.667,2.0,4.0,6.0,7.0,0.0,2.0,1.0,1.0,37.0,31.5,9.0
67,68,41.0,3/13/23,26-134,PHO,@,GSW,L (-11),1,35:15:00,12.0,20.0,0.6,0.0,2.0,0.0,8.0,10.0,0.8,2.0,2.0,4.0,1.0,2.0,0.0,2.0,4.0,32.0,23.1,-14.0
70,71,44.0,3/19/23,26-140,PHO,@,OKC,L (-4),1,36:22:00,18.0,28.0,0.643,3.0,7.0,0.429,7.0,8.0,0.875,0.0,3.0,3.0,1.0,1.0,0.0,3.0,5.0,46.0,30.8,-5.0
71,72,45.0,3/22/23,26-143,PHO,@,LAL,L (-11),1,40:33:00,11.0,16.0,0.688,1.0,3.0,0.333,10.0,12.0,0.833,0.0,6.0,6.0,5.0,0.0,0.0,7.0,4.0,33.0,22.1,0.0
74,75,48.0,3/27/23,26-148,PHO,@,UTA,W (+14),1,33:31:00,7.0,19.0,0.368,2.0,6.0,0.333,8.0,8.0,1.0,4.0,3.0,7.0,5.0,2.0,1.0,4.0,3.0,24.0,18.2,10.0
77,78,51.0,4/2/23,26-154,PHO,@,OKC,W (+10),1,36:57:00,8.0,14.0,0.571,1.0,5.0,0.2,5.0,5.0,1.0,1.0,4.0,5.0,10.0,1.0,0.0,5.0,4.0,22.0,18.7,5.0
83,2,2.0,2021-10-22,24-357,PHO,@,LAL,W (+10),1,33:34,9,19,.474,2,6,.333,2,2,1.000,1,4,5,4,0,0,4,3,22,11.8,+8
84,3,3.0,2021-10-23,24-358,PHO,@,POR,L (-29),1,28:11,9,19,.474,2,5,.400,1,2,.500,1,3,4,4,2,0,0,1,21,16.9,-15
90,9,9.0,2021-11-08,25-009,PHO,@,SAC,W (+5),1,32:22,8,17,.471,2,5,.400,0,2,.000,1,8,9,6,2,0,5,4,18,11.2,+22
92,11,11.0,2021-11-12,25-013,PHO,@,MEM,W (+25),1,25:36,7,17,.412,1,5,.200,2,2,1.000,1,4,5,7,0,0,3,2,17,10.9,+31
93,12,12.0,2021-11-14,25-015,PHO,@,HOU,W (+26),1,31:33,9,23,.391,3,7,.429,5,5,1.000,0,5,5,6,2,0,0,0,26,21.2,+12
94,13,13.0,2021-11-15,25-016,PHO,@,MIN,W (+3),1,34:26,7,16,.438,2,4,.500,13,15,.867,2,3,5,5,2,0,1,5,29,24.6,+8
98,17,17.0,2021-11-22,25-023,PHO,@,SAS,W (+4),1,34:15,7,17,.412,4,7,.571,5,6,.833,1,2,3,4,0,0,4,3,23,12.4,+1
99,18,18.0,2021-11-24,25-025,PHO,@,CLE,W (+5),1,38:42,14,21,.667,2,3,.667,5,6,.833,1,3,4,3,1,0,4,2,35,25.4,-2
101,20,20.0,2021-11-27,25-028,PHO,@,BRK,W (+6),1,31:46,9,18,.500,4,6,.667,8,8,1.000,0,1,1,4,1,0,3,5,30,20.1,+7
